edad,hombre,estrato_energia,tipo_ocupacion,maximo_nivel_educativo,ocupado,nivel_educativo_alto,grado_escolar_aprobado,actividad_ultima_semana,cotizante,pet,llave_hogar,llave_persona,llave_vivienda,horas_trabajadas,ingreso_total,tamanio_firma,informal,chunk,chunk_origen,ans_educ,nivel_educ,exp_potencial,estrato_factor,ln_ingreso_total,edu_may_10,mujer
56,0,2,1,6,1,5,11,1,1,1,1,1,4514374,48,882333.4375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,39,2,13.6903253105993,1,1
53,0,2,1,6,1,5,11,1,1,1,1,1,4514375,48,1275000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,36,2,14.058456736574664,1,1
23,0,2,1,7,1,6,4,1,1,1,1,2,4514375,48,1625000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13,terciaria,4,2,14.301018373745976,1,1
41,1,2,1,6,1,5,11,1,1,1,1,1,4514376,49,820857,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,24,2,13.618104195431933,1,0
32,0,2,1,6,1,5,11,1,2,1,1,1,4514377,48,820857,5,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,15,2,13.618104195431933,1,1
62,1,2,1,4,1,3,5,1,2,1,1,1,4514378,84,1200000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,51,2,13.997832114758229,0,0
24,1,2,1,7,1,6,0,1,1,1,1,1,4514379,48,1693140,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,terciaria,7,2,14.34209535113995,1,0
43,0,3,2,7,1,6,7,6,1,1,1,2,4514380,30,3150000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,14.5,terciaria,22.5,3,14.962913010801817,1,1
55,1,3,2,7,1,6,9,6,1,1,1,1,4514380,30,2925000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,15.5,terciaria,33.5,3,14.888805038648094,1,0
73,0,2,3,4,1,3,5,1,1,1,1,1,4514381,40,737717,1,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,62,2,13.511315561204945,0,1
51,1,2,1,5,1,4,7,1,2,1,1,2,4514382,48,1000000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,7,secundaria,38,2,13.815510557964274,0,0
76,0,2,4,3,1,3,1,4,2,1,1,1,4514382,30,80000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,1,primaria,69,2,11.289781913656018,0,1
47,1,3,4,6,1,5,11,1,2,1,1,3,4514383,60,500000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,30,3,13.122363377404328,1,0
56,0,3,4,6,1,5,11,4,2,1,1,3,4514384,8,180000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,39,3,12.100712129872347,1,1
47,0,3,1,6,1,5,11,6,1,1,1,8,4514384,48,882523.6875,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,30,3,13.690540908789139,1,1
29,0,3,1,6,1,5,11,1,1,1,1,6,4514384,40,1087140,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,12,3,13.899060952658209,1,1
63,1,3,5,6,1,5,11,6,2,1,1,1,4514387,48,6000000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,46,3,15.60727002719233,1,0
25,0,3,3,6,1,5,11,6,1,1,1,3,4514387,60,741473.3125,1,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,8,3,13.516394448678438,1,1
32,1,3,4,7,1,6,5,6,1,1,2,1,4514387,50,1000000,1,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,12.5,3,13.815510557964274,1,0
24,0,3,1,6,1,5,11,1,1,1,1,2,4514388,48,935166.6875,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,7,3,13.748480067782722,1,1
27,1,3,1,6,1,5,11,1,1,1,1,1,4514388,48,941166.6875,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,10,3,13.754875541562566,1,0
52,1,4,2,7,1,6,9,6,1,1,1,1,4514390,45,8977084,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,15.5,terciaria,30.5,4,16.010185665941343,1,0
52,0,4,2,7,1,6,8,1,1,1,1,2,4514390,45,6018333.5,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,15,terciaria,31,4,15.610320951718744,1,1
25,1,4,1,7,1,6,5,1,1,1,1,4,4514390,48,1461473.375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,5.5,4,14.194955645782823,1,0
53,0,4,4,4,1,3,5,4,2,1,1,1,4514391,48,980000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,42,4,13.795307850646754,0,1
30,0,4,1,7,1,6,5,1,1,1,1,2,4514391,48,2166666.75,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,10.5,4,14.588700484659293,1,1
